TIME -> 0 = GOTO -> NAME:TARGET, HITBOX_INIT
$ -> HITBOX_INIT = HITBOX -> 7,-9,16,32


//// NANCY CRYING ////

TALKED -> DARWIN*NANCY = WAITFOR -> TIMER:8 ? AFFECTING:NANCY*TALK_NANCY_CRYING


//// JESSY CHOKING ////

! -> JESSY_IS_WAITING = WAITFOR -> TIMER:60 ? MEMORY:JESSY_WAITED_BEHING_COLD_ROOM


//// PUSH UP ////

! -> DO_ONE_PUSHUP = MEMORY -> PUSHUP_01 ? PARSE_PUSHUP_02 / MEMORY:PUSHUP_01, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_02 = MEMORY -> PUSHUP_02 ? PARSE_PUSHUP_03 / MEMORY:PUSHUP_02, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_28 = MEMORY -> PUSHUP_28 ? PARSE_PUSHUP_29 / MEMORY:PUSHUP_28, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_29 = MEMORY -> PUSHUP_29 ? PARSE_PUSHUP_30 / MEMORY:PUSHUP_29, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_30 = MEMORY -> PUSHUP_30 ? PARSE_PUSHUP_31 / MEMORY:PUSHUP_30, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_31 = MEMORY -> PUSHUP_31 ? PARSE_PUSHUP_32 / MEMORY:PUSHUP_31, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_32 = MEMORY -> PUSHUP_32 ? PARSE_PUSHUP_33 / MEMORY:PUSHUP_32, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_33 = MEMORY -> PUSHUP_33 ? PARSE_PUSHUP_34 / MEMORY:PUSHUP_33, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_34 = MEMORY -> PUSHUP_34 ? PARSE_PUSHUP_35 / MEMORY:PUSHUP_34, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_35 = MEMORY -> PUSHUP_35 ? PARSE_PUSHUP_36 / MEMORY:PUSHUP_35, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_36 = MEMORY -> PUSHUP_36 ? PARSE_PUSHUP_37 / MEMORY:PUSHUP_36, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_37 = MEMORY -> PUSHUP_37 ? PARSE_PUSHUP_38 / MEMORY:PUSHUP_37, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_38 = MEMORY -> PUSHUP_38 ? PARSE_PUSHUP_39 / MEMORY:PUSHUP_38, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_39 = MEMORY -> PUSHUP_39 ? PARSE_PUSHUP_40 / MEMORY:PUSHUP_39, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_40 = MEMORY -> PUSHUP_40 ? PARSE_PUSHUP_41 / MEMORY:PUSHUP_40, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_41 = MEMORY -> PUSHUP_41 ? PARSE_PUSHUP_42 / MEMORY:PUSHUP_41, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_42 = MEMORY -> PUSHUP_42 ? PARSE_PUSHUP_43 / MEMORY:PUSHUP_42, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_43 = MEMORY -> PUSHUP_43 ? PARSE_PUSHUP_44 / MEMORY:PUSHUP_43, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_44 = MEMORY -> PUSHUP_44 ? PARSE_PUSHUP_45 / MEMORY:PUSHUP_44, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_45 = MEMORY -> PUSHUP_45 ? PARSE_PUSHUP_46 / MEMORY:PUSHUP_45, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_46 = MEMORY -> PUSHUP_46 ? PARSE_PUSHUP_47 / MEMORY:PUSHUP_46, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_47 = MEMORY -> PUSHUP_47 ? PARSE_PUSHUP_48 / MEMORY:PUSHUP_47, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_48 = MEMORY -> PUSHUP_48 ? PARSE_PUSHUP_49 / MEMORY:PUSHUP_48, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_49 = MEMORY -> PUSHUP_49 ? PARSE_PUSHUP_50 / MEMORY:PUSHUP_49, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_50 = MEMORY -> PUSHUP_50 ? PARSE_PUSHUP_51 / MEMORY:PUSHUP_50, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_51 = MEMORY -> PUSHUP_51 ? PARSE_PUSHUP_52 / MEMORY:PUSHUP_51, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_52 = MEMORY -> PUSHUP_52 ? PARSE_PUSHUP_53 / MEMORY:PUSHUP_52, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_53 = MEMORY -> PUSHUP_53 ? PARSE_PUSHUP_54 / MEMORY:PUSHUP_53, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_54 = MEMORY -> PUSHUP_54 ? PARSE_PUSHUP_55 / MEMORY:PUSHUP_54, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_55 = MEMORY -> PUSHUP_55 ? PARSE_PUSHUP_56 / MEMORY:PUSHUP_55, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_56 = MEMORY -> PUSHUP_56 ? PARSE_PUSHUP_57 / MEMORY:PUSHUP_56, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_57 = MEMORY -> PUSHUP_57 ? PARSE_PUSHUP_58 / MEMORY:PUSHUP_57, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_58 = MEMORY -> PUSHUP_58 ? PARSE_PUSHUP_59 / MEMORY:PUSHUP_58, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_59 = MEMORY -> PUSHUP_59 ? PARSE_PUSHUP_60 / MEMORY:PUSHUP_59, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_60 = MEMORY -> PUSHUP_60 ? PARSE_PUSHUP_61 / MEMORY:PUSHUP_60, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_61 = MEMORY -> PUSHUP_61 ? PARSE_PUSHUP_62 / MEMORY:PUSHUP_61, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_62 = MEMORY -> PUSHUP_62 ? PARSE_PUSHUP_63 / MEMORY:PUSHUP_62, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_63 = MEMORY -> PUSHUP_63 ? PARSE_PUSHUP_64 / MEMORY:PUSHUP_63, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_64 = MEMORY -> PUSHUP_64 ? PARSE_PUSHUP_65 / MEMORY:PUSHUP_64, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_65 = MEMORY -> PUSHUP_65 ? PARSE_PUSHUP_66 / MEMORY:PUSHUP_65, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_66 = MEMORY -> PUSHUP_66 ? PARSE_PUSHUP_67 / MEMORY:PUSHUP_66, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_67 = MEMORY -> PUSHUP_67 ? PARSE_PUSHUP_68 / MEMORY:PUSHUP_67, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_68 = MEMORY -> PUSHUP_68 ? PARSE_PUSHUP_69 / MEMORY:PUSHUP_68, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_69 = MEMORY -> PUSHUP_69 ? PARSE_PUSHUP_70 / MEMORY:PUSHUP_69, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_70 = MEMORY -> PUSHUP_70 ? PARSE_PUSHUP_71 / MEMORY:PUSHUP_70, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_71 = MEMORY -> PUSHUP_71 ? PARSE_PUSHUP_72 / MEMORY:PUSHUP_71, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_72 = MEMORY -> PUSHUP_72 ? PARSE_PUSHUP_73 / MEMORY:PUSHUP_72, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_73 = MEMORY -> PUSHUP_73 ? PARSE_PUSHUP_74 / MEMORY:PUSHUP_73, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_74 = MEMORY -> PUSHUP_74 ? PARSE_PUSHUP_75 / MEMORY:PUSHUP_74, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_75 = MEMORY -> PUSHUP_75 ? PARSE_PUSHUP_76 / MEMORY:PUSHUP_75, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_76 = MEMORY -> PUSHUP_76 ? PARSE_PUSHUP_77 / MEMORY:PUSHUP_76, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_77 = MEMORY -> PUSHUP_77 ? PARSE_PUSHUP_78 / MEMORY:PUSHUP_77, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_78 = MEMORY -> PUSHUP_78 ? PARSE_PUSHUP_79 / MEMORY:PUSHUP_78, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_79 = MEMORY -> PUSHUP_79 ? PARSE_PUSHUP_80 / MEMORY:PUSHUP_79, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_80 = MEMORY -> PUSHUP_80 ? PARSE_PUSHUP_81 / MEMORY:PUSHUP_80, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_81 = MEMORY -> PUSHUP_81 ? PARSE_PUSHUP_82 / MEMORY:PUSHUP_81, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_82 = MEMORY -> PUSHUP_82 ? PARSE_PUSHUP_83 / MEMORY:PUSHUP_82, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_83 = MEMORY -> PUSHUP_83 ? PARSE_PUSHUP_84 / MEMORY:PUSHUP_83, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_84 = MEMORY -> PUSHUP_84 ? PARSE_PUSHUP_85 / MEMORY:PUSHUP_84, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_85 = MEMORY -> PUSHUP_85 ? PARSE_PUSHUP_86 / MEMORY:PUSHUP_85, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_86 = MEMORY -> PUSHUP_86 ? PARSE_PUSHUP_87 / MEMORY:PUSHUP_86, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_87 = MEMORY -> PUSHUP_87 ? PARSE_PUSHUP_88 / MEMORY:PUSHUP_87, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_88 = MEMORY -> PUSHUP_88 ? PARSE_PUSHUP_89 / MEMORY:PUSHUP_88, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_89 = MEMORY -> PUSHUP_89 ? PARSE_PUSHUP_90 / MEMORY:PUSHUP_89, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_90 = MEMORY -> PUSHUP_90 ? PARSE_PUSHUP_91 / MEMORY:PUSHUP_90, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_91 = MEMORY -> PUSHUP_91 ? PARSE_PUSHUP_92 / MEMORY:PUSHUP_91, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_92 = MEMORY -> PUSHUP_92 ? PARSE_PUSHUP_93 / MEMORY:PUSHUP_92, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_93 = MEMORY -> PUSHUP_93 ? PARSE_PUSHUP_94 / MEMORY:PUSHUP_93, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_94 = MEMORY -> PUSHUP_94 ? PARSE_PUSHUP_95 / MEMORY:PUSHUP_94, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_95 = MEMORY -> PUSHUP_95 ? PARSE_PUSHUP_96 / MEMORY:PUSHUP_95, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_96 = MEMORY -> PUSHUP_96 ? PARSE_PUSHUP_97 / MEMORY:PUSHUP_96, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_97 = MEMORY -> PUSHUP_97 ? PARSE_PUSHUP_98 / MEMORY:PUSHUP_97, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_98 = MEMORY -> PUSHUP_98 ? PARSE_PUSHUP_99 / MEMORY:PUSHUP_98, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_99 = MEMORY -> PUSHUP_99 ? PARSE_PUSHUP_100 / MEMORY:PUSHUP_99, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_100 = MEMORY -> PUSHUP_100 ? PARSE_PUSHUP_101 / MEMORY:PUSHUP_100, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_101 = MEMORY -> PUSHUP_101 ? PARSE_PUSHUP_102 / MEMORY:PUSHUP_101, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_102 = MEMORY -> PUSHUP_102 ? PARSE_PUSHUP_103 / MEMORY:PUSHUP_102, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_103 = MEMORY -> PUSHUP_103 ? PARSE_PUSHUP_104 / MEMORY:PUSHUP_103, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_104 = MEMORY -> PUSHUP_104 ? PARSE_PUSHUP_105 / MEMORY:PUSHUP_104, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_105 = MEMORY -> PUSHUP_105 ? PARSE_PUSHUP_106 / MEMORY:PUSHUP_105, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_106 = MEMORY -> PUSHUP_106 ? PARSE_PUSHUP_107 / MEMORY:PUSHUP_106, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_107 = MEMORY -> PUSHUP_107 ? PARSE_PUSHUP_108 / MEMORY:PUSHUP_107, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_108 = MEMORY -> PUSHUP_108 ? PARSE_PUSHUP_109 / MEMORY:PUSHUP_108, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_109 = MEMORY -> PUSHUP_109 ? PARSE_PUSHUP_110 / MEMORY:PUSHUP_109, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_110 = MEMORY -> PUSHUP_110 ? PARSE_PUSHUP_111 / MEMORY:PUSHUP_110, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_111 = MEMORY -> PUSHUP_111 ? PARSE_PUSHUP_112 / MEMORY:PUSHUP_111, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_112 = MEMORY -> PUSHUP_112 ? PARSE_PUSHUP_113 / MEMORY:PUSHUP_112, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_113 = MEMORY -> PUSHUP_113 ? PARSE_PUSHUP_114 / MEMORY:PUSHUP_113, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_114 = MEMORY -> PUSHUP_114 ? PARSE_PUSHUP_115 / MEMORY:PUSHUP_114, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_115 = MEMORY -> PUSHUP_115 ? PARSE_PUSHUP_116 / MEMORY:PUSHUP_115, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_116 = MEMORY -> PUSHUP_116 ? PARSE_PUSHUP_117 / MEMORY:PUSHUP_116, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_117 = MEMORY -> PUSHUP_117 ? PARSE_PUSHUP_118 / MEMORY:PUSHUP_117, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_118 = MEMORY -> PUSHUP_118 ? PARSE_PUSHUP_119 / MEMORY:PUSHUP_118, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_119 = MEMORY -> PUSHUP_119 ? PARSE_PUSHUP_120 / MEMORY:PUSHUP_119, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_120 = MEMORY -> PUSHUP_120 ? PARSE_PUSHUP_121 / MEMORY:PUSHUP_120, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_121 = MEMORY -> PUSHUP_121 ? PARSE_PUSHUP_122 / MEMORY:PUSHUP_121, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_122 = MEMORY -> PUSHUP_122 ? PARSE_PUSHUP_123 / MEMORY:PUSHUP_122, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_123 = MEMORY -> PUSHUP_123 ? PARSE_PUSHUP_124 / MEMORY:PUSHUP_123, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_124 = MEMORY -> PUSHUP_124 ? PARSE_PUSHUP_125 / MEMORY:PUSHUP_124, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_125 = MEMORY -> PUSHUP_125 ? PARSE_PUSHUP_126 / MEMORY:PUSHUP_125, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_126 = MEMORY -> PUSHUP_126 ? PARSE_PUSHUP_127 / MEMORY:PUSHUP_126, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_127 = MEMORY -> PUSHUP_127 ? PARSE_PUSHUP_128 / MEMORY:PUSHUP_127, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_128 = MEMORY -> PUSHUP_128 ? PARSE_PUSHUP_129 / MEMORY:PUSHUP_128, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_129 = MEMORY -> PUSHUP_129 ? PARSE_PUSHUP_130 / MEMORY:PUSHUP_129, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_130 = MEMORY -> PUSHUP_130 ? PARSE_PUSHUP_131 / MEMORY:PUSHUP_130, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_131 = MEMORY -> PUSHUP_131 ? PARSE_PUSHUP_132 / MEMORY:PUSHUP_131, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_132 = MEMORY -> PUSHUP_132 ? PARSE_PUSHUP_133 / MEMORY:PUSHUP_132, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_133 = MEMORY -> PUSHUP_133 ? PARSE_PUSHUP_134 / MEMORY:PUSHUP_133, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
