TIME -> 0 = GOTO -> HITBOX_INIT, BLOCKING_SIGHT:TRUE, TA_INIT, CREATE_PLANT, SPREAD_INTERACTIVENESS
$ -> PARSE_LOOKING_FOR_YELLOW_KEY = MEMORY -> LOOKING_FOR_YELLOW_KEY ? TALK:TAKE_STOCK_SCENARIO_KEY*TEDDY_YELLOW_KEY / PARSE_KEY_GREEN_KEY
$ -> PARSE_KEY_GREEN_KEY = UNLOCKEDTOOL -> KEY:GREEN ? TALK_TAKE_STOCK_SCENARIO_KEY_ARCHIVES_CONDITIONNAL / PARSE_COFFEE
$ -> TALK_TAKE_STOCK_SCENARIO_KEY_ARCHIVES_CONDITIONNAL = NUMBER_SETTINGS -> TRUE ? TALK:TAKE_STOCK_SCENARIO_KEY*ARCHIVES_NUMBER_SETTINGS / TALK:TAKE_STOCK_SCENARIO_KEY*ARCHIVES
$ -> PARSE_COFFEE = MEMORY -> PLAYER_HAS_COFFEE ? TALK:TAKE_STOCK_SCENARIO_KEY*COFFEE / PARSE_DONUT
$ -> PARSE_DONUT = MEMORY -> PLAYER_HAS_DONUT ? TALK:TAKE_STOCK_SCENARIO_KEY*DONUT / PARSE_LOOKING_FOR_DONUT
$ -> PARSE_LOOKING_FOR_DONUT = MEMORY -> LOOKING_FOR_DONUT ? TALK:TAKE_STOCK_SCENARIO_KEY*DONUT_CRIMINAL / PARSE_BROKEN_COFFEE_MACHINE
$ -> PARSE_BROKEN_COFFEE_MACHINE = MEMORY -> BROKEN_COFFEE_MACHINE ? TALK:TAKE_STOCK_SCENARIO_KEY*COFFEE_POLICEMAN / PARSE_COFFEE_REQUIRED
$ -> PARSE_COFFEE_REQUIRED = MEMORY -> COFFEE_REQUIRED ? TALK:TAKE_STOCK_SCENARIO_KEY*COFFEE / PARSE_BUTCH_HAS_GREEN_KEY
$ -> PARSE_BUTCH_HAS_GREEN_KEY = MEMORY -> BUTCH_HAS_GREEN_KEY ? TALK_TAKE_STOCK_SCENARIO_KEY_GREEN_KEY_CONDITIONNAL / PARSE_REBECCA_POLICE_CAPLESS
$ -> TALK_TAKE_STOCK_SCENARIO_KEY_GREEN_KEY_CONDITIONNAL = NUMBER_SETTINGS -> TRUE ? TALK:TAKE_STOCK_SCENARIO_KEY*GREEN_KEY_NUMBER_SETTINGS / TALK:TAKE_STOCK_SCENARIO_KEY*GREEN_KEY
$ -> PARSE_REBECCA_POLICE_CAPLESS = NAME_PLAYER -> REBECCA_POLICE_CAPLESS ? TALK:TAKE_STOCK_SCENARIO_KEY*CRIMINAL / PARSE_SARAH_DETENTION
$ -> PARSE_SARAH_DETENTION = MEMORY -> SARAH_DETENTION ? PARSE_PLAYER_HAS_CYAN_KEY / PARSE_DIVERSION_READY
$ -> PARSE_PLAYER_HAS_CYAN_KEY = UNLOCKEDTOOL -> KEY:CYAN ? TALK:TAKE_STOCK_SCENARIO_KEY*SARAH_DETENTION / TALK_TAKE_STOCK_SCENARIO_KEY_SARAH_DETENTION_KEY_CONDITIONNAL
$ -> TALK_TAKE_STOCK_SCENARIO_KEY_SARAH_DETENTION_KEY_CONDITIONNAL = NUMBER_SETTINGS -> TRUE ? TALK:TAKE_STOCK_SCENARIO_KEY*SARAH_DETENTION_KEY_NUMBER_SETTINGS / TALK:TAKE_STOCK_SCENARIO_KEY*SARAH_DETENTION_KEY
$ -> PARSE_DIVERSION_READY = MEMORY -> SARAH_TALKED_ABOUT_PLAN ? TALK:TAKE_STOCK_SCENARIO_KEY*DIVERSION_READY / TALK:TAKE_STOCK_SCENARIO_KEY*BEFORE_PLAN
